,0
0,-0.0026548676603074346
1,0.004824877448390663
2,-0.003907416609033959
3,0.006673344778753217
4,-0.033898379305773316
5,0.08242657080793155
6,0.060512057901272835
7,0.024842440274185744
8,0.0206756631913051
9,0.009321401844390198
10,-0.0017380381613039625
11,-0.0028253820149468853
12,0.010029285128420159
13,-0.0029205559975962834
14,-0.02377202777955023
15,0.015121564885779032
16,0.015823694390668032
17,0.07289389245878969
18,-0.01854297659831331
19,0.03523312348802837
20,0.046295579710091454
21,0.011091970198340274
22,-0.013539522788211536
23,-0.07626865539267208
24,-0.0061763499309534006
25,-0.0049955857569690156
26,-0.0037231400807895077
27,0.02532434050021564
28,-0.008715584823762945
29,-0.033939568522854735
30,0.06904141601264861
31,-0.10511195098825282
32,0.015150299079924273
33,-0.03751941825567094
34,-0.04216126796226639
35,0.07610320148303278
36,0.00650724004705148
37,-0.015585161051989947
38,0.001271848925381458
39,0.011356374464062088
40,-0.00021273995010034148
41,-0.0018873679507032132
42,-0.0028204984068241293
43,0.06474814197189306
44,-0.07044340869725849
45,-0.022448760519709343
46,-0.00917976888107997
47,-0.0544046200354909
48,0.027145237266526165
49,0.06869451756670263
50,-0.07207088496017561
51,0.01386120881608767
52,-0.012748903250904957
53,-0.01634027574375486
54,0.020957566650782196
55,0.0025885885831762323
56,0.0689541829791765
57,-0.04492171689892082
58,0.016232669977865405
59,0.018466188407949294
60,-0.007992769295693173
61,0.006026859054336451
62,0.039852188226363786
63,-0.0009350712069620508
64,0.05806174852805155
65,0.012031065023888586
66,-0.008973946079808021
67,-0.005617955118628212
68,0.05160793655164053
69,0.04206038778129296
70,-0.09550596042894889
71,0.004656556080401529
72,-0.06778057983376402
73,0.04311411851772106
74,0.004565893951746822
75,-0.048730759738693175
76,0.04830942419557442
77,-0.02338590918935256
78,0.0009881137372343557
79,-0.006464929980253569
80,0.0018577292542561984
81,0.014038338695364432
82,-0.0734003697668492
83,-0.13906269970306367
84,-0.02597084419985144
85,0.01780736847173129
86,-0.0060470077879274525
87,0.06762435841660284
88,-0.0009783064734004438
89,-0.03888687236135323
90,-0.049641026669414307
91,-0.1910444567606292
92,0.05721378138908794
93,0.06249396928599146
94,-0.06549803089436135
95,0.03704565525862259
96,0.02755993857983908
97,0.028031584888394287
98,0.07009549615702079
99,-0.004621165040695624
100,0.017775702239862294
101,0.01640129378787154
102,0.033300968247555796
103,-0.08233278799941429
104,-0.060898529692624194
105,-0.01995638230443294
106,-0.01923720329992675
107,-0.011591487856423478
108,0.012165148023297101
109,-0.007173188212415322
110,0.012224101224943738
111,-0.005595510336776312
112,-0.050063913261009396
113,0.003583260469899513
114,0.013892517662495413
115,-0.0785521574054205
116,-0.003028432241994748
117,-0.005375395137320221
118,-0.002169308458141442
119,0.00864946490486182
120,0.038667005113826716
121,0.0527259449341909
122,0.028062301062317774
123,0.058214578624542435
124,0.0811902921430369
125,-0.04812884006331569
126,0.013772464491906916
127,0.06705924802744115
128,-0.05033357286243102
129,-0.041077054176238574
130,-0.06916550606880349
131,-0.03177227303673362
132,-0.10115779249425332
133,-0.06729809228814859
134,0.04622425025970643
135,-0.10534302425128667
136,-0.035422583168390295
137,0.03727319799753725
138,0.08652904189226168
139,-0.055704357204197016
140,-0.12355603888981295
141,0.05049300393204979
142,0.07998483914003118
143,-0.1590955567991989
